model,epoch_model,org,org_cat,country,date,open_weights,accessibility,arch,moe,N_total,N_active,N,D,D_src,D_flag,D_epoch,epochs,C_epoch,C_method,confidence,C_D_ratio,D_C_mismatch,code,distilled,notable,frontier,hf_dev,core,in_B,M,C6,sample
Yi 6B,Yi 6B,01.AI,Industry,China,2023-11-02,True,Open weights (restricted use),dense,False,6000000000.0,6000000000.0,6000000000.0,3500000000000.0,Epoch C/(6N) (operation counting),D from compute,,,1.26e+23,Operation counting,Confident,1.0,False,False,False,False,False,,True,True,583.3333333333334,1.26e+23,A
DeepSeek Coder 1.3B,DeepSeek Coder 1.3B,"DeepSeek,Peking University","Industry,Academia","China,China",2023-11-02,True,Open weights (restricted use),dense,False,1300000000.0,1300000000.0,1300000000.0,2000000000000.0,Epoch dataset size x epochs,,2000000000000.0,,1.56e+22,Operation counting,Likely,1.0,False,True,False,False,False,deepseek-ai,False,False,1538.4615384615386,1.56e+22,A
DeepSeek Coder 6.7B,DeepSeek Coder 6.7B,"DeepSeek,Peking University","Industry,Academia","China,China",2023-11-02,True,Open weights (restricted use),dense,False,6700000000.0,6700000000.0,6700000000.0,2000000000000.0,Epoch dataset size x epochs,,2000000000000.0,,8.04e+22,Operation counting,Likely,1.0,False,True,False,False,False,deepseek-ai,False,False,298.5074626865672,8.04e+22,A
Nanbeige-16B,Nanbeige-16B,Nanbeige LLM Lab,Industry,China,2023-11-01,True,Open weights (unrestricted),dense,False,16000000000.0,16000000000.0,16000000000.0,2500000000000.0,Epoch dataset size x epochs,,2500000000000.0,,2.4e+23,Operation counting,Likely,1.0,False,False,False,False,False,,True,False,156.25,2.4e+23,A
Calm2-7B,Calm2-7B,CyberAgent,Industry,Japan,2023-11-01,True,Open weights (unrestricted),dense,False,7000000000.0,7000000000.0,7000000000.0,1300000000000.0,Epoch dataset size x epochs,,1300000000000.0,,5.46e+22,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,185.71428571428572,5.46e+22,A
BlueLM 7B,BlueLM 7B,vivo AI lab,Industry,China,2023-10-31,True,Open weights (restricted use),dense,False,7000000000.0,7000000000.0,7000000000.0,2592000000000.0,Epoch dataset size x epochs,,2592000000000.0,,1.0920000000001e+23,Operation counting,Confident,1.0030864197531781,False,False,False,False,False,,True,False,370.2857142857143,1.08864e+23,A
Mi:dm 200B,Mi:dm 200B,KT,Industry,South Korea,2023-10-31,False,API access,dense,False,200000000000.0,200000000000.0,200000000000.0,1000000000000.0,Epoch dataset size x epochs,,1000000000000.0,,1.1999999999999999e+24,Operation counting,Confident,0.9999999999999999,False,False,False,False,False,,True,False,5.0,1.2e+24,A
Skywork-13B,Skywork-13B,Kunlun Inc.,Industry,China,2023-10-30,True,Open weights (restricted use),dense,False,13000000000.0,13000000000.0,13000000000.0,3200000000000.0,Epoch dataset size x epochs,notes mention words; kept,3200000000000.0,1.0,2.5e+23,Operation counting,Confident,1.001602564102564,False,False,False,True,False,,True,False,246.15384615384616,2.496e+23,A
Stockmark-13B,Stockmark-13B,Stockmark,Industry,Japan,2023-10-23,True,Open weights (unrestricted),dense,False,13200000000.0,13200000000.0,13200000000.0,220000000000.0,Epoch dataset size x epochs,,220000000000.0,,1.716e+22,Operation counting,Likely,0.9848484848484849,False,False,False,False,False,,True,False,16.666666666666668,1.7424e+22,A
Aquila2 34B,Aquila2 34B,Beijing Academy of Artificial Intelligence / BAAI,Academia,China,2023-10-13,True,Open weights (unrestricted),dense,False,34000000000.0,34000000000.0,34000000000.0,2000000000000.0,Epoch dataset size x epochs,,2000000000000.0,,,,Likely,,False,False,False,False,False,,True,False,58.8235294117647,4.08e+23,A
Jiutian,Jiutian,China Mobile,Industry,China,2023-10-12,True,Open weights (unrestricted),dense,False,13900000000.0,13900000000.0,13900000000.0,2000000000000.0,Epoch dataset size x epochs,,2000000000000.0,,1.668e+23,Operation counting,Likely,1.0,False,False,False,False,False,,True,False,143.88489208633092,1.668e+23,A
CodeFuse-13B,CodeFuse-13B,Ant Group,Industry,China,2023-10-10,True,Open weights (unrestricted),dense,False,13000000000.0,13000000000.0,13000000000.0,1000000000000.0,Epoch dataset size x epochs,,1000000000000.0,,3.09e+23,Hardware,Confident,3.9615384615384617,False,True,False,False,False,,False,False,76.92307692307692,7.8e+22,A
Phi-1,Phi-1,Microsoft Research,Industry,United States of America,2023-10-02,True,Open weights (unrestricted),dense,False,1300000000.0,1300000000.0,1300000000.0,42607942307.69231,Epoch C/(6N) (operation counting),D from compute,,7.3,3.3234195e+20,"Operation counting,Hardware",Confident,1.0,False,False,False,False,False,microsoft,False,False,32.77534023668639,3.3234195e+20,A
TinyLlama-1.1B (3T token checkpoint),TinyLlama-1.1B (3T token checkpoint),Singapore University of Technology & Design,Academia,Singapore,2023-10-01,True,Open weights (unrestricted),dense,False,1100000000.0,1100000000.0,1100000000.0,3293630836363.636,Epoch C/(6N) (operation counting),D from compute,,3.0,2.173796352e+22,"Hardware,Operation counting",Confident,1.0,False,False,False,False,False,,True,False,2994.209851239669,2.173796352e+22,A
StableLM-3B-4E1T,StableLM-3B-4E1T,Stability AI,Industry,United Kingdom,2023-09-29,True,Open weights (unrestricted),dense,False,2795443200.0,2795443200.0,2795443200.0,4000000000000.0,Epoch dataset size x epochs,notes mention words; kept,4000000000000.0,4.0,6.21e+22,Hardware,Confident,0.9256135127338664,False,False,False,False,False,,True,True,1430.9001163035614,6.70906368e+22,A
Qwen-14B,Qwen-14B,Alibaba,Industry,China,2023-09-28,True,Open weights (restricted use),dense,False,14000000000.0,14000000000.0,14000000000.0,3000000000000.0,Epoch dataset size x epochs,,3000000000000.0,1.0,2.5e+23,Operation counting,Confident,0.992063492063492,False,False,False,False,False,,True,True,214.28571428571428,2.52e+23,A
Qwen-7B,Qwen-7B,Alibaba,Industry,China,2023-09-28,True,Open weights (restricted use),dense,False,7000000000.0,7000000000.0,7000000000.0,2400000000000.0,Epoch dataset size x epochs,,2400000000000.0,1.0,1.01e+23,Operation counting,Confident,1.001984126984127,False,False,False,False,False,,True,True,342.85714285714283,1.008e+23,A
PLaMo-13B,PLaMo-13B,Preferred Networks Inc,Industry,Japan,2023-09-28,True,Open weights (unrestricted),dense,False,13000000000.0,13000000000.0,13000000000.0,1500000000000.0,Epoch dataset size x epochs,notes mention words but C/(6ND)~1: kept as tokens,1500000000000.0,,1.17e+23,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,115.38461538461539,1.17e+23,A
BTLM-3B,BTLM-3B,Cerebras Systems,Industry,United States of America,2023-09-20,True,Open weights (unrestricted),dense,False,2600000000.0,2600000000.0,2600000000.0,627000000000.0,Epoch dataset size x epochs,,627000000000.0,1.0,9.8e+21,Operation counting,Confident,1.0019220545536336,False,False,False,False,False,,True,True,241.15384615384616,9.7812e+21,A
Baichuan 2-7B,Baichuan 2-7B,Baichuan,Industry,China,2023-09-20,True,Open weights (restricted use),dense,False,7000000000.0,7000000000.0,7000000000.0,2600000000000.0,Epoch dataset size x epochs,,2600000000000.0,,1.092e+23,Operation counting,Confident,1.0,False,False,False,False,False,baichuan-inc,True,False,371.42857142857144,1.092e+23,A
DeciLM 6B,DeciLM 6B,Deci AI,Industry,Israel,2023-09-13,True,Open weights (restricted use),dense,False,5700000000.0,5700000000.0,5700000000.0,299999999999.99994,Epoch C/(6N) (operation counting),D from compute,,,1.026e+22,Operation counting,Likely,1.0,False,False,False,False,False,,True,False,52.63157894736841,1.026e+22,A
Phi-1.5,Phi-1.5,Microsoft,Industry,United States of America,2023-09-11,True,Open weights (unrestricted),dense,False,1300000000.0,1300000000.0,1300000000.0,150000000000.0,Epoch dataset size x epochs,,150000000000.0,5.0,1.17e+21,"Operation counting,Hardware",Confident,1.0,False,False,False,False,False,,True,True,115.38461538461539,1.17e+21,A
Persimmon-8B,Persimmon-8B,Adept,Industry,United States of America,2023-09-07,True,Open weights (unrestricted),dense,False,9300000000.0,9300000000.0,9300000000.0,737000000000.0,Epoch dataset size x epochs,notes mention words; kept,737000000000.0,,4.11246e+22,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,79.24731182795699,4.11246e+22,A
FLM-101B,FLM-101B,"Chinese Academy of Sciences,Harbin Institute of Technology,Nanyang Technological University,Beijing Academy of Artificial Intelligence / BAAI","Academia,Academia,Academia,Academia","China,China,Singapore,China",2023-09-07,True,Open weights (unrestricted),dense,False,101000000000.0,101000000000.0,101000000000.0,311540000000.0,Epoch dataset size x epochs,notes mention words; kept,311540000000.0,,5.72e+22,Hardware,Confident,0.3029769498102793,False,False,False,False,False,,True,False,3.0845544554455446,1.8879324e+23,A
XGen-7B,XGen-7B,Salesforce,Industry,United States of America,2023-09-07,True,Open weights (unrestricted),dense,False,6700000000.0,6700000000.0,6700000000.0,1429520000000.0,Epoch dataset size x epochs,,1429520000000.0,1.0,8.02e+22,"Hardware,Operation counting",Confident,1.3955907406835095,False,False,False,False,False,,True,False,213.36119402985074,5.7466704e+22,A
Falcon-180B,Falcon-180B,Technology Innovation Institute,Government,United Arab Emirates,2023-09-06,True,Open weights (restricted use),dense,False,180000000000.0,180000000000.0,180000000000.0,3500000000000.0,Epoch dataset size x epochs,notes mention words but C/(6ND)~1: kept as tokens,3500000000000.0,1.0,3.76e+24,"Reported,Operation counting",Confident,0.9947089947089945,False,False,False,True,True,,True,True,19.444444444444443,3.78e+24,A
Baichuan2-13B,Baichuan2-13B,Baichuan,Industry,China,2023-09-06,True,Open weights (restricted use),dense,False,13000000000.0,13000000000.0,13000000000.0,2600000000000.0,Epoch dataset size x epochs,notes mention words but C/(6ND)~1: kept as tokens,2600000000000.0,1.0,2.03e+23,Operation counting,Confident,1.0009861932938855,False,False,False,False,False,,True,False,200.0,2.028e+23,A
Jais,Jais,"Cerebras Systems,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Inception G42","Industry,Academia,Industry","United States of America,United Arab Emirates,United Arab Emirates",2023-08-29,True,Open weights (unrestricted),dense,False,13000000000.0,13000000000.0,13000000000.0,395000000000.0,Epoch dataset size x epochs,notes mention words; kept,395000000000.0,1.0,4.8946763e+22,"Operation counting,Hardware",Confident,1.588664816617981,True,False,False,True,False,inceptionai,True,False,30.384615384615383,3.081e+22,A
Refact-1.6B,Refact-1.6B,Refact AI,Industry,United Kingdom,2023-08-29,True,Open weights (restricted use),dense,False,1600000000.0,1600000000.0,1600000000.0,1200000000000.0,Epoch dataset size x epochs,,1200000000000.0,,1.152e+22,"Operation counting,Hardware",Likely,1.0,False,True,False,False,False,,False,False,750.0,1.152e+22,A
PULI GPTrio,PULI GPTrio,Hungarian Research Centre for Linguistics,Academia,Hungary,2023-08-23,True,Open weights (non-commercial),dense,False,6700000000.0,6700000000.0,6700000000.0,230590476190.0,Epoch dataset size x epochs,notes mention words; kept,230590476190.0,,5.8e+21,Hardware,Confident,0.625691959828786,False,False,False,False,False,,True,False,34.41648898358209,9.269737142838e+21,A
VARCO LLM 2.0 base,VARCO LLM 2.0 base,NCSOFT,Industry,South Korea,2023-08-16,False,API access,dense,False,13000000000.0,13000000000.0,13000000000.0,1600000000000.0,Epoch dataset size x epochs,,1600000000000.0,,1.248e+23,Operation counting,Likely,1.0,False,False,False,False,False,,True,False,123.07692307692308,1.248e+23,A
VARCO LLM 2.0 small Finetuning,VARCO LLM 2.0 small Finetuning,NCSOFT,Industry,South Korea,2023-08-16,False,API access,dense,False,7000000000.0,7000000000.0,7000000000.0,1600000000000.0,Epoch dataset size x epochs,,1600000000000.0,,6.72e+22,Operation counting,Likely,1.0,False,False,False,False,False,,True,False,228.57142857142858,6.72e+22,A
VARCO LLM KO/EN-13B-IST ver.1,VARCO LLM KO/EN-13B-IST ver.1,NCSOFT,Industry,South Korea,2023-08-16,False,API access,dense,False,13000000000.0,13000000000.0,13000000000.0,350000000000.0,Epoch dataset size x epochs,,350000000000.0,,2.73e+22,Operation counting,Likely,1.0,False,False,False,False,False,,True,False,26.923076923076923,2.73e+22,A
DeciCoder-1B,DeciCoder-1B,Deci AI,Industry,Israel,2023-08-15,True,Open weights (unrestricted),dense,False,1100000000.0,1100000000.0,1100000000.0,446000000000.0,Epoch dataset size x epochs,,446000000000.0,,2.9e+21,Operation counting,Confident,0.9851882049191466,False,True,False,False,False,,False,False,405.45454545454544,2.9436e+21,A
Japanese-LM-3.6B,Japanese-LM-3.6B,LINE Corporation,Industry,Japan,2023-08-14,True,Open weights (unrestricted),dense,False,3600000000.0,3600000000.0,3600000000.0,72150000000.0,Epoch dataset size x epochs,notes mention words; kept,72150000000.0,,,,Likely,,False,False,False,False,False,,True,False,20.041666666666668,1.55844e+21,A
Japanese StableLM Base Alpha 7B,Japanese StableLM Base Alpha 7B,Stability AI,Industry,United Kingdom,2023-08-10,True,Open weights (unrestricted),dense,False,7000000000.0,7000000000.0,7000000000.0,750000000000.0,Epoch dataset size x epochs,,750000000000.0,,3.15e+22,Operation counting,Confident,1.0,False,False,False,False,False,stabilityai,True,False,107.14285714285714,3.15e+22,A
Baichuan2-53B,Baichuan2-53B,Baichuan,Industry,China,2023-08-09,False,Unreleased,dense,False,53000000000.0,53000000000.0,53000000000.0,2600000000000.0,Epoch C/(6N) (operation counting),D from compute,,,8.268e+23,Operation counting,Likely,1.0,False,False,False,False,False,,True,False,49.056603773584904,8.268e+23,A
StableLM-Base-Alpha-7B,StableLM-Base-Alpha-7B,Stability AI,Industry,United Kingdom,2023-08-05,True,Open weights (unrestricted),dense,False,6890209280.0,6890209280.0,6890209280.0,1100000000000.0,Epoch dataset size x epochs,,1100000000000.0,1.0,4.5e+22,Operation counting,Confident,0.9895464043411201,False,False,False,False,False,stabilityai,True,True,159.64681990036738,4.5475381248e+22,A
Weblab-10B,Weblab-10B,Matsuo Lab,,Japan,2023-08-04,True,Open weights (non-commercial),dense,False,10000000000.0,10000000000.0,10000000000.0,599346540000.0,Epoch dataset size x epochs,,599346540000.0,2.34,3.6e+22,Operation counting,Confident,1.0010902874320422,False,False,False,False,False,,True,False,59.934654,3.59607924e+22,A
bilingual-gpt-neox-4b,bilingual-gpt-neox-4b,rinna,Industry,Japan,2023-07-31,True,Open weights (unrestricted),dense,False,3800000000.0,3800000000.0,3800000000.0,526315789473.6842,Epoch C/(6N) (operation counting),D from compute,,,1.2e+22,Operation counting,Likely,1.0,False,False,False,False,False,,True,False,138.50415512465375,1.2e+22,A
Llama 2-70B,Llama 2-70B,Meta AI,Industry,United States of America,2023-07-18,True,Open weights (restricted use),dense,False,70000000000.0,70000000000.0,70000000000.0,2000000000000.0,Epoch dataset size x epochs,notes mention words; kept,2000000000000.0,1.0,8.1e+23,"Hardware,Operation counting",Confident,0.9642857142857143,False,False,False,True,False,meta-llama,True,True,28.571428571428573,8.4e+23,A
Llama 2-7B,Llama 2-7B,Meta AI,Industry,United States of America,2023-07-18,True,Open weights (restricted use),dense,False,7000000000.0,7000000000.0,7000000000.0,2000000000000.0,Epoch dataset size x epochs,notes mention words; kept,2000000000000.0,1.0,8.4e+22,"Hardware,Operation counting",Confident,1.0,False,False,False,True,False,,True,True,285.7142857142857,8.4e+22,A
Llama 2-13B,Llama 2-13B,Meta AI,Industry,United States of America,2023-07-18,True,Open weights (restricted use),dense,False,13000000000.0,13000000000.0,13000000000.0,2000000000000.0,Epoch dataset size x epochs,notes mention words; kept,2000000000000.0,1.0,1.6e+23,"Hardware,Operation counting",Confident,1.0256410256410255,False,False,False,True,False,,True,True,153.84615384615384,1.56e+23,A
RetNet,RetNet,"Microsoft Research,Tsinghua University","Industry,Academia","United States of America,China",2023-07-17,False,Unreleased,ssm/hybrid,False,6700000000.0,6700000000.0,6700000000.0,100000000000.0,Epoch dataset size x epochs,,100000000000.0,,4.02e+21,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,14.925373134328359,4.02e+21,A
Baichuan 1-13B,Baichuan 1-13B,Baichuan,Industry,China,2023-07-11,True,Open weights (restricted use),dense,False,13264901120.0,13264901120.0,13264901120.0,1400000000000.0,Epoch dataset size x epochs,,1400000000000.0,,9.36e+22,Operation counting,Confident,0.8400256467842515,False,False,False,False,False,baichuan-inc,True,False,105.5416838267393,1.11425169408e+23,A
InternLM,InternLM,"Shanghai AI Lab,SenseTime","Academia,Industry","China,Hong Kong",2023-07-06,False,Unreleased,dense,False,104000000000.0,104000000000.0,104000000000.0,1600000000000.0,Epoch dataset size x epochs,,1600000000000.0,,9.984e+23,Operation counting,Confident,1.0,False,False,False,True,False,,True,False,15.384615384615385,9.984e+23,A
CodeGen2.5,CodeGen2.5,Salesforce,Industry,United States of America,2023-07-06,True,Open weights (unrestricted),dense,False,7000000000.0,7000000000.0,7000000000.0,1398000000000.0,Epoch dataset size x epochs,,1398000000000.0,4.66,5.9e+22,Operation counting,Confident,1.004836841746713,False,True,False,False,False,,False,False,199.71428571428572,5.8716e+22,A
LongNet,LongNet,"Microsoft,Xi’an Jiaotong University","Industry,Academia","United States of America,China",2023-07-05,False,Unreleased,dense,False,2700000000.0,2700000000.0,2700000000.0,300000000000.0,Epoch dataset size x epochs,,300000000000.0,1.0,4.86e+21,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,111.11111111111111,4.86e+21,A
MPT-30B,MPT-30B,MosaicML,Industry,United States of America,2023-06-22,True,Open weights (unrestricted),dense,False,30000000000.0,30000000000.0,30000000000.0,1050000000000.0,Epoch dataset size x epochs,,1050000000000.0,1.0,1.8900000000001e+23,Operation counting,Confident,1.0000000000000528,False,False,False,False,False,mosaicml,True,True,35.0,1.89e+23,A
RedPajama-INCITE-7B-Base,RedPajama-INCITE-7B-Base,Together,Industry,United States of America,2023-06-06,True,Open weights (unrestricted),dense,False,6900000000.0,6900000000.0,6900000000.0,1001000000000.0,Epoch dataset size x epochs,,1001000000000.0,1.0,4.1e+22,Operation counting,Confident,0.9893488154357719,False,False,False,False,False,,True,True,145.07246376811594,4.14414e+22,A
Polyglot-Ko-12.8B,Polyglot-Ko-12.8B,EleutherAI,Research collective,United States of America,2023-06-04,True,Open weights (unrestricted),dense,False,12898631680.0,12898631680.0,12898631680.0,167000000000.0,Epoch dataset size x epochs,fixed: Epoch compute notes: 'trained for 167 billion tokens'; the dataset field (96B) is a Korean word count,95793000000.0,,1.28e+22,Operation counting,Confident,0.9903725770859744,False,False,False,False,False,,True,False,12.947109751101909,1.292442894336e+22,A
Baichuan1-7B,Baichuan1-7B,Baichuan,Industry,China,2023-06-01,True,Open weights (non-commercial),dense,False,7000559616.0,7000559616.0,7000559616.0,1200000000000.0,Epoch dataset size x epochs,,1200000000000.0,,5.04e+22,Operation counting,Confident,0.9999200612478578,False,False,False,False,False,baichuan-inc,True,False,171.41486764248992,5.04040292352e+22,A
RWKV-4 14B,RWKV-4 14B,RWKV Foundation,Research collective,Multinational,2023-05-22,False,nan,ssm/hybrid,False,14000000000.0,14000000000.0,14000000000.0,330000000000.0,Epoch dataset size x epochs,,330000000000.0,,2.78e+22,Operation counting,Confident,1.002886002886003,False,False,False,False,False,,True,True,23.571428571428573,2.772e+22,A
WeLM,WeLM,WeChat AI,Industry,China,2023-05-16,False,nan,dense,False,10000000000.0,10000000000.0,10000000000.0,262000000000.0,Epoch dataset size x epochs,,262000000000.0,,2.484338688e+22,Hardware,Confident,1.5803681221374046,False,False,False,False,False,,True,False,26.2,1.572e+22,A
PaLM 2,PaLM 2,Google,Industry,United States of America,2023-05-10,False,API access,dense,False,340000000000.0,340000000000.0,340000000000.0,3600000000000.0,Epoch dataset size x epochs,,3600000000000.0,,7.34e+24,Operation counting,Likely,0.9994553376906318,False,False,False,True,True,,True,False,10.588235294117647,7.344e+24,A
StarCoder,StarCoder,"Hugging Face,ServiceNow,Northeastern University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Carnegie Mellon University (CMU),Johns Hopkins University,Leipzig University,ScaDS.AI,Queen Mary University of London,Roblox,Sea AI Lab,Technion - Israel Institute of Technology,Monash University,CSIRO,Data61,McGill University,Saama,University of British Columbia (UBC),Massachusetts Institute of Technology (MIT),Technical University of Munich,IBM,University of Vermont,UnfoldML,SAP,University of Notre Dame,Columbia University,New York University (NYU),University of Allahabad,Discover Dollar,Toloka,Telefonica,Stanford University,Weizmann Institute of Science,Alan Turing Institute,Wellesley College,EleutherAI,Forschungszentrum Julich","Industry,Industry,Academia,Academia,Academia,Academia,Academia,Academia,Industry,Academia,Academia,Government,Government,Academia,Academia,Academia,Academia,Industry,Academia,Industry,Academia,Academia,Academia,Academia,Industry,Industry,Industry,Academia,Academia,Government,Academia,Research collective,Government","United States of America,United States of America,United States of America,Canada,United States of America,United States of America,Germany,Germany,United Kingdom,United States of America,Singapore,Israel,Australia,Australia,Australia,Canada,United States of America,Canada,United States of America,Germany,United States of America,United States of America,Sweden,Germany,United States of America,United States of America,United States of America,India,India,Netherlands,Spain,United States of America,Israel,United Kingdom,United States of America,United States of America,Germany",2023-05-09,True,Open weights (restricted use),dense,False,15500000000.0,15500000000.0,15500000000.0,203750000000.0,Epoch dataset size x epochs,,203750000000.0,1.0,8.46e+22,"Reported,Hardware",Confident,4.4646744508212945,True,True,False,True,False,,False,False,13.14516129032258,1.894875e+22,A
OpenLLaMA-13B,OpenLLaMA-13B,OpenLM Research,Research collective,United States of America,2023-05-01,True,Open weights (unrestricted),dense,False,13000000000.0,13000000000.0,13000000000.0,1000000000000.0,Epoch dataset size x epochs,notes mention words; kept,1000000000000.0,1.0,7.8e+22,Operation counting,Confident,1.0,False,False,False,False,False,,True,True,76.92307692307692,7.8e+22,A
Falcon-7B,Falcon-7B,Technology Innovation Institute,Government,United Arab Emirates,2023-04-24,True,Open weights (unrestricted),dense,False,7000000000.0,7000000000.0,7000000000.0,1500000000000.0,Epoch dataset size x epochs,notes mention words but C/(6ND)~1: kept as tokens,1500000000000.0,,6.3e+22,"Operation counting,Reported",Confident,1.0,False,False,False,False,False,tiiuae,True,True,214.28571428571428,6.3e+22,A
ruGPT-3.5 13B,ruGPT-3.5 13B,Sber,"Industry,Government",Russia,2023-04-24,True,Open weights (unrestricted),dense,False,13000000000.0,13000000000.0,13000000000.0,900000000000.0,Epoch dataset size x epochs,,900000000000.0,3.0,1.0699776e+23,"Operation counting,Hardware",Confident,1.5241846153846152,True,False,False,False,False,ai-forever,True,False,69.23076923076923,7.02e+22,A
Incoder-6.7B,Incoder-6.7B,"Facebook AI Research,University of Washington,University of California (UC) Berkeley,Carnegie Mellon University (CMU),Toyota Technological Institute at Chicago","Industry,Academia,Academia,Academia,Academia","United States of America,France,United States of America,United States of America,United States of America,United States of America",2023-04-09,True,Open weights (non-commercial),dense,False,6700000000.0,6700000000.0,6700000000.0,52000000000.0,Epoch dataset size x epochs,,52000000000.0,1.0,3.00001e+21,Reported,Confident,1.4351368159203979,False,True,False,True,False,,False,False,7.7611940298507465,2.0904e+21,A
Cerebras-GPT-13B,Cerebras-GPT-13B,Cerebras Systems,Industry,United States of America,2023-04-06,True,Open weights (unrestricted),dense,False,13000000000.0,13000000000.0,13000000000.0,257100000000.0,Epoch dataset size x epochs,"fixed: Dey et al. (2023): 13B trained on 257B tokens (20 tokens/parameter); Epoch's 257.1B is already tokens seen (0.69 epochs of the Pile), so size x epochs double-counts",177399000000.0,0.69,2.3e+22,Reported,Confident,1.1469147991901785,False,False,False,False,False,cerebras,True,False,19.776923076923076,2.00538e+22,A
Pythia-12b,Pythia-12b,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam","Research collective,Industry,Academia,Academia,Industry,Industry,Academia","United States of America,United States of America,United Kingdom,India,United Kingdom,United States of America,Netherlands",2023-04-03,True,Open weights (unrestricted),dense,False,12000000000.0,12000000000.0,12000000000.0,299892736000.0,Epoch dataset size x epochs,,299892736000.0,1.0,2.1590000000001e+22,Operation counting,Confident,0.9998945459990235,False,False,False,False,False,,True,True,24.991061333333334,2.1592276992e+22,A
Pythia-2.8b,Pythia-2.8b,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam","Research collective,Industry,Academia,Academia,Industry,Industry,Academia","United States of America,United States of America,United Kingdom,India,United Kingdom,United States of America,Netherlands",2023-04-03,True,Open weights (unrestricted),dense,False,2800000000.0,2800000000.0,2800000000.0,299892736000.0,Epoch dataset size x epochs,,299892736000.0,1.0,5.038000000001e+21,Operation counting,Confident,0.9999607072210375,False,False,False,False,False,,True,True,107.10454857142857,5.0381979648e+21,A
Pythia-6.9b,Pythia-6.9b,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam","Research collective,Industry,Academia,Academia,Industry,Industry,Academia","United States of America,United States of America,United Kingdom,India,United Kingdom,United States of America,Netherlands",2023-04-03,True,Open weights (unrestricted),dense,False,6900000000.0,6900000000.0,6900000000.0,299892736000.0,Epoch dataset size x epochs,,299892736000.0,1.0,1.2420000000001e+22,Operation counting,Confident,1.000357674552091,False,False,False,False,False,,True,True,43.46271536231884,1.24155592704e+22,A
Pythia-160m,Pythia-160m,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam","Research collective,Industry,Academia,Academia,Industry,Industry,Academia","United States of America,United States of America,United Kingdom,India,United Kingdom,United States of America,Netherlands",2023-04-03,True,Open weights (unrestricted),dense,False,160000000.0,160000000.0,160000000.0,299892736000.0,Epoch dataset size x epochs,,299892736000.0,1.0,2.87900000001e+20,"Operation counting,Hardware",Confident,1.000010328140709,False,False,False,False,False,,False,True,1874.3296,2.8789702656e+20,A
Pythia-1b,Pythia-1b,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam","Research collective,Industry,Academia,Academia,Industry,Industry,Academia","United States of America,United States of America,United Kingdom,India,United Kingdom,United States of America,Netherlands",2023-04-03,True,Open weights (unrestricted),dense,False,1000000000.0,1000000000.0,1000000000.0,299892736000.0,Epoch dataset size x epochs,,299892736000.0,1.0,1.799000000001e+21,Operation counting,Confident,0.9998019202889262,False,False,False,False,False,,True,True,299.892736,1.799356416e+21,A
Pythia-1.4b,Pythia-1.4b,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam","Research collective,Industry,Academia,Academia,Industry,Industry,Academia","United States of America,United States of America,United Kingdom,India,United Kingdom,United States of America,Netherlands",2023-04-03,True,Open weights (unrestricted),dense,False,1400000000.0,1400000000.0,1400000000.0,299892736000.0,Epoch dataset size x epochs,,299892736000.0,1.0,2.5190000000001e+21,Operation counting,Confident,0.9999607072208787,False,False,False,False,False,,True,True,214.20909714285713,2.5190989824e+21,A
Pythia-70m,Pythia-70m,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam","Research collective,Industry,Academia,Academia,Industry,Industry,Academia","United States of America,United States of America,United Kingdom,India,United Kingdom,United States of America,Netherlands",2023-04-03,True,Open weights (unrestricted),dense,False,70000000.0,70000000.0,70000000.0,299892736000.0,Epoch dataset size x epochs,,299892736000.0,1.0,1.26000000001e+20,Operation counting,Confident,1.0003576745599498,False,False,False,False,False,,False,True,4284.1819428571425,1.2595494912e+20,A
