rep,chi_est,chi_wcu_lo,chi_wcu_hi,chi_wcu_se,chi_wcu_p_wcr,chi_wcu_se_wcr,chi_cr2_lo,chi_cr2_hi,chi_cr2_se,chi_cr2_p_wcr,chi_cr2_se_wcr
11,0.023620653827256533,-0.005125324715817552,0.0525598511965768,0.016586028696390344,0.195,0.01774937141259362,-0.008267691725701312,0.052992154414246824,0.01765504573924258,0.235,0.019173764288023542
12,0.0012840698589124955,-0.011873149844397546,0.016325325410676945,0.007533998220461088,0.9,0.007522074496756239,-0.012811519459066938,0.016807709060928384,0.008028686759534848,0.855,0.007852746819384856
13,0.020627015177590025,-0.011884752835846939,0.049083261380534,0.017106937162291724,0.38,0.020064994235816674,-0.01381602895763518,0.053185101051867835,0.018766500096782435,0.435,0.021420901392544007
14,0.010434078754729015,-0.03422322006815115,0.051572441820785006,0.019815565126854066,0.645,0.021151523613375012,-0.03852277426980656,0.055530577017008434,0.022732221273066244,0.67,0.021770223482394605
15,-0.010797034379859127,-0.040454995518895975,0.016745837069713422,0.014572302090397645,0.405,0.01359292371814369,-0.04655842829320277,0.02173098465126326,0.017455902943829885,0.485,0.015220266447073772
16,-0.008420640059098261,-0.037769175435334826,0.02602271494428105,0.017587343598730355,0.79,0.019813217454304803,-0.04473024068042063,0.03555489755851689,0.02354503259348428,0.825,0.024217531826779663
17,0.0018781548213544497,-0.030545741093586744,0.032953732710706424,0.01687529350142873,0.905,0.016628441151146228,-0.04301370559716504,0.04736787891819269,0.02452771824136658,0.96,0.02085754204539463
18,0.020702527339432564,0.0009527933306367198,0.04534773621827215,0.01189247107954796,0.14,0.013079470919607823,-0.00575081400773958,0.051246662634147455,0.014197443696670496,0.125,0.01281294835841728
19,-7.157967700965884e-05,-0.01783065779972434,0.018200993604356428,0.010584488187351216,0.99,0.01057119235478606,-0.019767024304224928,0.019681352449588282,0.011601767771517725,0.985,0.010099916560802015
20,-0.01529785916429649,-0.04039523149152418,0.014775450472626246,0.014081387133477851,0.355,0.01593235448275773,-0.0449350733471596,0.015973833804999366,0.015684583061140678,0.395,0.017252785000313815
21,-0.002159097548304345,-0.020677978365062265,0.01600124827290492,0.009846615771478837,0.89,0.009750647514247836,-0.023966376282904985,0.018354695017448013,0.011652375714244196,0.895,0.010412495237601705
22,0.0031227441006445034,-0.02390626586430232,0.031243976308562658,0.014160136837189734,0.825,0.014322878909763541,-0.02564610488936276,0.03229179669933728,0.015118325511396939,0.79,0.013912232624645549
23,-0.012281328617266496,-0.04687990160246076,0.02149369320668093,0.019962783763771856,0.61,0.020776604627258846,-0.05664615166669632,0.0327335749281314,0.02587795324362239,0.665,0.02379802673246388
24,-0.004509233193815021,-0.021168170317442173,0.011890571020001815,0.009215678093122208,0.675,0.009201995397874002,-0.02459152123296921,0.013294214974451178,0.010872620844970517,0.745,0.009786938127661432
25,0.021731380355522134,-0.00162473810829096,0.04992412102804167,0.01329497654754929,0.14,0.013788274767858719,-0.003619738969877724,0.053439938910942654,0.015123487988834523,0.19,0.015138369962886644
26,-0.022505192147549202,-0.04411402735438638,-0.004261916225402736,0.010300901260826818,0.085,0.012591371994964398,-0.04529808524011564,-0.0009799252387496446,0.011532648299893682,0.13,0.014189662204787665
27,0.004478828162596926,-0.02344173073371123,0.0343000447725724,0.015586710088928757,0.81,0.015349367759025522,-0.027946950123881993,0.040847167074274715,0.01807588764952356,0.795,0.016121725909931415
28,0.018138316670668786,-0.021188069118948584,0.05347559424423469,0.017622201612270322,0.23,0.01692569931187326,-0.03089012947404271,0.06167595250897144,0.020780161927568774,0.345,0.019361186856743713
29,-0.026337898745934396,-0.04457253173977706,-0.0069616250518010694,0.010912411973854506,0.11,0.01577834075496431,-0.052138830809564225,0.0028089575238019887,0.014968376227891135,0.205,0.01910379197558439
30,0.005482248618793761,-0.00961971397990928,0.02150306058180953,0.008035347984803801,0.51,0.007818195167330034,-0.012891460122312178,0.024707654135717447,0.00994644013919705,0.515,0.00793632071414843
31,0.022876503836613438,0.008832599885303834,0.03887575742709978,0.008169064957614063,0.01,0.008033908000577445,0.002584944183804623,0.04442470989071187,0.01193548418599687,0.015,0.008724600440170578
32,0.020416421090939885,0.0015756836617603007,0.04046549282298999,0.010522279349094117,0.04,0.011793286557042886,-0.0016718671835754886,0.04491869771165029,0.013220688132643732,0.02,0.011754396343961844
33,0.00137579259128362,-0.01471438194446155,0.017026677450977745,0.008397915302940538,0.88,0.008473723974741745,-0.018349336245339066,0.02041721900013375,0.010307722741232709,0.885,0.009332814701502094
34,-0.0063218457186726695,-0.032431256193091534,0.017566513113159397,0.014391711871792239,0.76,0.015435695155024977,-0.03424247337073955,0.02009201221612495,0.01548805234816379,0.77,0.015445495232024271
35,-0.016984418531268197,-0.042381210751038054,0.006905482370842313,0.013616887991484064,0.28,0.014633991281980986,-0.04767527659965731,0.011849429646110646,0.01578219679596371,0.34,0.015719390809302965
36,-0.0044456323020760635,-0.03654258025221384,0.03199871813516188,0.019246175500297502,0.845,0.018663936734619965,-0.043869782973139024,0.040548877638923606,0.02418528075943624,0.84,0.020684154108019343
37,-0.02508835507402729,-0.05142849764818323,-0.0013135220529652478,0.012656881480110755,0.06,0.013993896264490848,-0.05492176437167515,0.00038165533107052674,0.013898058730123787,0.055,0.014193017210106563
38,0.017588384351046926,0.002633798833148425,0.033294710004486826,0.007488226052573643,0.105,0.010023696230145526,0.0011240098955859965,0.03479927450342259,0.008327774785744214,0.12,0.010282133882045102
39,0.010399164340880063,-0.012054244714333757,0.03111178059575459,0.011118486757430109,0.37,0.011900458385045708,-0.018038614008327687,0.037943532476843206,0.014720740965471157,0.455,0.014267220367476924
