uid,model,dev,gen,fam_class,year,Cmp,M,Mstar_ref,M_over_Mstar,w_ref,w_sig060,sigma_meta_line,w_meta_line,sigma_pi_lower,w_pi_upper,s_ref,s_sig060,s_meta_line,s_pi_upper
B:Qwen/Qwen-72B,Qwen-72B,Alibaba,Qwen,size-specific-D,2023,1.30118e+24,41.5007,21.5257,1.92796,1.32392,1.54905,0.545345,1.72857,0.414445,2.52817,0.24467,0.354443,0.421488,0.604457
B:Qwen/Qwen-14B,Qwen-14B,Alibaba,Qwen,size-specific-D,2023,2.55011e+23,211.755,21.7803,9.72234,2.64372,4.55527,0.568546,5.61816,0.455202,15.2122,0.621745,0.780474,0.822006,0.934263
B:Qwen/Qwen-7B,Qwen-7B,Alibaba,Qwen,size-specific-D,2023,1.11187e+23,310.827,21.9111,14.1858,3.10708,5.86008,0.580363,6.80551,0.475961,18.5442,0.678154,0.829354,0.85306,0.946075
B:Qwen/Qwen2-72B,Qwen2-72B,Alibaba,Qwen2,size-specific-D,2024,3.05366e+24,96.2779,21.3936,4.50031,1.90206,2.72581,0.5332,3.73158,0.393111,10.1972,0.474254,0.633136,0.732017,0.901934
B:Qwen/Qwen2-7B,Qwen2-7B,Alibaba,Qwen2,size-specific-D,2024,3.19856e+23,919.164,21.7447,42.2707,4.95495,12.1346,0.56532,17.7941,0.449536,97.9748,0.798181,0.917591,0.943802,0.989793
B:Qwen/Qwen2-1.5B,Qwen2-1.5B,Alibaba,Qwen2,size-specific-D,2024,6.4836e+22,4534.52,21.9965,206.147,9.7539,34.8967,0.588041,41.8045,0.489449,259.387,0.897477,0.971344,0.976079,0.996145
B:Qwen/Qwen2-0.5B,Qwen2-0.5B,Alibaba,Qwen2,size-specific-D,2024,3.55704e+22,24289.9,22.092,1099.49,19.9496,106.527,0.596588,113.881,0.504463,971.358,0.949874,0.990613,0.991219,0.998971
B:01-ai/Yi-6B,Yi-6B,01.AI,Yi,common-D,2023,1.09099e+23,494.965,21.9141,22.5866,3.79048,7.99037,0.580633,9.50235,0.476435,30.7451,0.736181,0.874849,0.894763,0.967475
B:01-ai/Yi-34B,Yi-34B,01.AI,Yi,common-D,2023,6.19001e+23,87.2374,21.6414,4.03105,1.8146,2.53286,0.555921,3.04521,0.433024,6.20437,0.448915,0.60519,0.671616,0.838823
B:google/gemma-7b,gemma-7b,Google,Gemma,size-specific-D,2024,3.07357e+23,702.767,21.751,32.3097,4.41727,10.1443,0.565888,14.3834,0.450532,69.3068,0.773616,0.901422,0.930476,0.985571
B:google/gemma-2b,gemma-2b,Google,Gemma,size-specific-D,2024,4.51111e+22,1197.04,22.0542,54.2774,5.5138,14.3355,0.593205,15.4714,0.498521,55.5795,0.818637,0.930243,0.935365,0.982008
B:google/gemma-2-27b,gemma-2-27b,Google,Gemma-2,singleton,2024,2.12372e+24,477.465,21.4497,22.2597,3.76693,7.91309,0.538371,14.3034,0.402193,100.672,0.734532,0.873627,0.930087,0.990067
B:tiiuae/falcon-180B,falcon-180B,TII,Falcon,size-specific-D,2023,3.76997e+24,19.4962,21.3611,0.912694,0.961704,0.940914,0.5302,0.922242,0.387841,0.865721,-0.0398214,-0.0627961,-0.0843141,-0.155106
B:tiiuae/falcon-40b,falcon-40b,TII,Falcon,size-specific-D,2023,2.51016e+23,23.9029,21.7828,1.09733,1.0405,1.06388,0.56877,1.07296,0.455596,1.11738,0.0389231,0.0600418,0.0679972,0.105047
B:tiiuae/falcon-7b,falcon-7b,TII,Falcon,size-specific-D,2023,6.49547e+22,207.837,21.9962,9.44875,2.61166,4.4694,0.588015,4.82373,0.489403,10.4139,0.617102,0.776257,0.792692,0.903974
B:microsoft/phi-2,phi-2,Microsoft,Phi-2,singleton,2023,2.33493e+22,503.654,22.1592,22.7289,3.80067,8.0239,0.60258,7.84701,0.51499,18.9498,0.736888,0.875372,0.872563,0.947229
B:microsoft/phi-1_5,phi-1_5,Microsoft,Phi-1.5,singleton,2023,1.27644e+21,105.763,22.6288,4.67381,1.93306,2.79542,0.643957,2.34563,0.587677,2.9502,0.482686,0.642272,0.573676,0.66104
B:mosaicml/mpt-30b,mpt-30b,MosaicML,MPT,common-D,2023,1.8e+23,33.3333,21.8351,1.52659,1.19821,1.32581,0.573505,1.36971,0.463913,1.63045,0.165419,0.245746,0.269919,0.386671
B:mosaicml/mpt-7b,mpt-7b,MosaicML,MPT,common-D,2023,4.2e+22,142.857,22.0656,6.47422,2.22196,3.47369,0.594222,3.58045,0.500308,6.45936,0.549947,0.712122,0.720705,0.845186
B:deepseek-ai/deepseek-llm-67b-base,deepseek-llm-67b-base,DeepSeek,DeepSeek-LLM,common-D,2024,8.04e+23,29.8507,21.6006,1.38194,1.14829,1.24068,0.552198,1.29996,0.426485,1.54498,0.129139,0.19399,0.230744,0.352743
B:deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,DeepSeek,DeepSeek-LLM,common-D,2024,8.4e+22,285.714,21.9555,13.0133,2.99459,5.53256,0.584355,6.20374,0.482973,15.5942,0.666065,0.819252,0.838807,0.935874
B:stabilityai/stablelm-base-alpha-3b,stablelm-base-alpha-3b,Stability AI,StableLM-alpha,common-D,2023,2.7e+22,500,22.136,22.5876,3.79055,7.99062,0.600512,7.95529,0.511357,19.6667,0.736186,0.874853,0.874297,0.949153
B:stabilityai/stablelm-base-alpha-7b-v2,stablelm-base-alpha-7b-v2,Stability AI,StableLM-alpha-v2,singleton,2023,4.54701e+22,159.665,22.0529,7.2401,2.33073,3.74251,0.593092,3.88913,0.498322,7.33725,0.570949,0.7328,0.742873,0.863709
B:stabilityai/stablelm-2-1_6b,stablelm-2-1_6b,Stability AI,StableLM-2,singleton,2024,1.97342e+22,1216.16,22.1861,54.8164,5.53713,14.4302,0.604975,13.6597,0.519197,40.7681,0.819401,0.930701,0.926792,0.975471
B:stabilityai/stablelm-base-alpha-7b,stablelm-base-alpha-7b,Stability AI,StableLM-alpha,common-D,2023,6.3e+22,214.286,22.0011,9.73977,2.64575,4.56071,0.58845,4.91327,0.490168,10.6711,0.622035,0.780736,0.79647,0.906289
B:HuggingFaceTB/SmolLM-135M,SmolLM-135M,Hugging Face,SmolLM,size-specific-D,2024,4.84254e+20,4460.47,22.7876,195.741,9.54033,33.7123,0.657755,15.5745,0.593781,36.9652,0.895182,0.970337,0.935792,0.972948
B:HuggingFaceTB/SmolLM-360M,SmolLM-360M,Hugging Face,SmolLM,size-specific-D,2024,1.30256e+21,1658.28,22.6255,73.2925,6.26912,17.5135,0.643669,10.7767,0.58717,20.4782,0.840488,0.942901,0.907207,0.951168
B:HuggingFaceTB/SmolLM-1.7B,SmolLM-1.7B,Hugging Face,SmolLM,size-specific-D,2024,1.02683e+22,584.325,22.2909,26.2136,4.0396,8.82438,0.614275,7.77574,0.535535,16.9933,0.752451,0.886678,0.871395,0.941153
B:cerebras/btlm-3b-8k-base,btlm-3b-8k-base,Cerebras,BTLM,singleton,2023,1.1286e+22,209,22.2757,9.3824,2.60381,4.44846,0.61293,4.11172,0.533171,7.10115,0.615947,0.775203,0.756793,0.859178
B:h2oai/h2o-danube-1.8b-base,h2o-danube-1.8b-base,H2O.ai,H2O-Danube1,singleton,2024,1.09872e+22,546.09,22.2801,24.5102,3.92524,8.43785,0.613312,7.51575,0.533842,16.3379,0.745239,0.881486,0.866946,0.938792
B:h2oai/h2o-danube3-500m-base,h2o-danube3-500m-base,H2O.ai,H2O-Danube3,size-specific-D,2024,1.23262e+22,7788.3,22.2616,349.854,12.2283,49.6506,0.611675,41.2098,0.530967,176.67,0.918223,0.979859,0.975734,0.99434
B:h2oai/h2o-danube3-4b-base,h2o-danube3-4b-base,H2O.ai,H2O-Danube3,size-specific-D,2024,1.42626e+23,1514.45,21.8718,69.2421,6.11862,16.8622,0.576818,22.3968,0.469733,119.545,0.836564,0.940696,0.955351,0.991635
B:allenai/OLMo-1B-hf,OLMo-1B-hf,AI2,OLMo-1,size-specific-D,2024,2.11818e+22,2549.36,22.1748,114.967,7.59936,23.6437,0.603967,22.4469,0.517427,83.5169,0.86841,0.957705,0.95545,0.988026
B:allenai/OLMo-7B-hf,OLMo-7B-hf,AI2,OLMo-1,size-specific-D,2024,1.03321e+23,362.945,21.9227,16.5557,3.31917,6.49578,0.581407,7.54394,0.477796,21.4902,0.69872,0.846054,0.867443,0.953467
B:allenai/OLMo-7B-0424-hf,OLMo-7B-0424-hf,AI2,OLMo-1.7,singleton,2024,8.47236e+22,297.615,21.9541,13.5562,3.04737,5.68537,0.584232,6.39269,0.482759,16.3307,0.671848,0.82411,0.843571,0.938766
B:TinyLlama/TinyLlama_v1.1,TinyLlama_v1.1,TinyLlama,TinyLlama,singleton,2024,1.32e+22,1818.18,22.2506,81.7139,6.56746,18.8306,0.6107,16.5586,0.529254,50.2224,0.847734,0.946895,0.939608,0.980089
B:Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,Alibaba,Qwen2.5,common-D,2024,5.33555e+22,36434.8,22.0275,1654.06,23.7546,139.862,0.590815,169.47,0.494323,1961,0.957903,0.99285,0.994099,0.99949
B:Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,Alibaba,Qwen2.5,common-D,2024,1.66721e+23,11660.2,21.8472,533.716,14.6477,65.7971,0.574596,104.514,0.46583,1340.99,0.93173,0.984802,0.990432,0.999254
B:Qwen/Qwen2.5-3B,Qwen2.5-3B,Alibaba,Qwen2.5,common-D,2024,3.33281e+23,5832.91,21.7383,268.325,10.9173,41.6013,0.564735,74.4513,0.448507,969.002,0.908402,0.975962,0.986568,0.998968
B:Qwen/Qwen2.5-7B,Qwen2.5-7B,Alibaba,Qwen2.5,common-D,2024,8.22487e+23,2363.56,21.597,109.439,7.44098,22.8796,0.551875,45.2709,0.425916,560.481,0.865609,0.956293,0.977911,0.998216
B:Qwen/Qwen2.5-14B,Qwen2.5-14B,Alibaba,Qwen2.5,common-D,2024,1.59516e+24,1218.68,21.4941,56.6986,5.61761,14.7587,0.542445,30.1403,0.409351,339.015,0.821989,0.932243,0.966822,0.99705
B:Qwen/Qwen2.5-32B,Qwen2.5-32B,Alibaba,Qwen2.5,common-D,2024,3.5385e+24,549.386,21.3709,25.7072,4.00606,8.71037,0.531103,17.5753,0.389426,162.481,0.750378,0.885194,0.943102,0.993845
B:Qwen/Qwen2.5-72B,Qwen2.5-72B,Alibaba,Qwen2.5,common-D,2024,7.85227e+24,247.572,21.2483,11.6513,2.85637,5.13946,0.519755,9.66749,0.369492,66.0219,0.649906,0.805427,0.896561,0.984854
B:Qwen/Qwen3-0.6B-Base,Qwen3-0.6B-Base,Alibaba,Qwen3,common-D,2025,1.28747e+23,60397.6,21.8879,2759.4,29.5632,196.733,0.578275,323.086,0.472294,6990.56,0.966174,0.994917,0.996905,0.999857
B:Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,Alibaba,Qwen3,common-D,2025,3.71644e+23,20923.2,21.7212,963.264,18.853,97.5357,0.563184,206.182,0.445783,5123.05,0.946958,0.989747,0.99515,0.999805
B:Qwen/Qwen3-4B-Base,Qwen3-4B-Base,Alibaba,Qwen3,common-D,2025,8.68853e+23,8949.73,21.5885,414.56,13.1483,55.5979,0.551094,135.586,0.424545,3532.22,0.923944,0.982014,0.992625,0.999717
B:Qwen/Qwen3-8B-Base,Qwen3-8B-Base,Alibaba,Qwen3,common-D,2025,1.7692e+24,4395.21,21.478,204.638,9.72331,34.7262,0.540971,91.3983,0.406761,2346.65,0.897154,0.971203,0.989059,0.999574
B:Qwen/Qwen3-14B-Base,Qwen3-14B-Base,Alibaba,Qwen3,common-D,2025,3.18995e+24,2437.65,21.3869,113.979,7.57138,23.508,0.532579,63.8536,0.392019,1548.54,0.867924,0.957461,0.984339,0.999354
B:allenai/OLMo-2-0425-1B,OLMo-2-0425-1B,AI2,OLMo-2,size-specific-D,2025,3.60835e+22,2727.43,22.0897,123.47,7.83472,24.7956,0.596384,26.0323,0.504105,114.156,0.872363,0.95967,0.961586,0.99124
B:allenai/OLMo-2-1124-7B,OLMo-2-1124-7B,AI2,OLMo-2,size-specific-D,2024,1.77356e+23,554.9,21.8374,25.4105,3.98623,8.64322,0.573715,11.0652,0.464283,41.8008,0.749137,0.884302,0.909627,0.976077
B:allenai/OLMo-2-1124-13B,OLMo-2-1124-13B,AI2,OLMo-2,size-specific-D,2024,4.23831e+23,375.468,21.7006,17.3022,3.38234,6.68962,0.561313,9.28158,0.442497,36.2986,0.704347,0.850515,0.89226,0.972451
B:allenai/OLMo-2-0325-32B,OLMo-2-0325-32B,AI2,OLMo-2,size-specific-D,2025,1.18944e+24,190.791,21.5396,8.85765,2.54053,4.28101,0.546623,6.10548,0.41669,21.1893,0.606382,0.76641,0.836213,0.952806
B:allenai/Olmo-3-1025-7B,Olmo-3-1025-7B,AI2,Olmo-3,common-D,2025,2.64042e+23,826.253,21.7748,37.9453,4.73151,11.292,0.56805,15.8783,0.454331,78.8185,0.788651,0.911442,0.937021,0.987313
B:allenai/Olmo-3-1125-32B,Olmo-3-1125-32B,AI2,Olmo-3,common-D,2025,1.08305e+24,173.732,21.5542,8.06024,2.44013,4.02006,0.547957,5.59373,0.419034,18.0551,0.590185,0.751247,0.821229,0.944614
B:HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,Hugging Face,SmolLM2,size-specific-D,2024,1.61418e+21,14868.2,22.5905,658.163,16.0205,75.664,0.640615,38.1139,0.581806,106.115,0.93758,0.986784,0.973763,0.990576
B:HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,Hugging Face,SmolLM2,size-specific-D,2024,8.68371e+21,11055.2,22.3179,495.35,14.188,62.6049,0.616661,47.3427,0.539726,198.699,0.929518,0.984027,0.978877,0.994967
B:HuggingFaceTB/SmolLM2-1.7B,SmolLM2-1.7B,Hugging Face,SmolLM2,size-specific-D,2024,1.12951e+23,6427.57,21.9086,293.381,11.3419,44.1524,0.580139,61.0582,0.475567,525.975,0.911831,0.977351,0.983622,0.998099
B:HuggingFaceTB/SmolLM3-3B-Base,SmolLM3-3B-Base,Hugging Face,SmolLM3,singleton,2025,2.06647e+23,3642.16,21.8134,166.969,8.91354,30.322,0.571539,46.3686,0.460461,402.112,0.887811,0.967021,0.978434,0.997513
B:tiiuae/Falcon3-7B-Base,Falcon3-7B-Base,TII,Falcon3,singleton,2024,6.26266e+23,1877.8,21.6396,86.7761,6.73838,19.6005,0.555755,35.4379,0.432732,347.571,0.851596,0.948981,0.971782,0.997123
B:tiiuae/falcon-11B,falcon-11B,TII,Falcon2,singleton,2024,3.66393e+23,495.37,21.7234,22.8035,3.80599,8.04145,0.563386,11.283,0.446139,48.5176,0.737256,0.875644,0.911371,0.979389
B:ibm-granite/granite-3.0-2b-base,granite-3.0-2b-base,IBM,Granite-3.0,common-D,2024,1.82414e+23,4736.48,21.833,216.942,9.96903,36.1045,0.573315,54.8029,0.46358,505.172,0.899689,0.972303,0.981753,0.99802
B:ibm-granite/granite-3.0-8b-base,granite-3.0-8b-base,IBM,Granite-3.0,common-D,2024,5.883e+23,1468.64,21.6493,67.8376,6.06525,16.6334,0.556645,28.7557,0.434296,243.012,0.835126,0.93988,0.965224,0.995885
B:swiss-ai/Apertus-8B-2509,Apertus-8B-2509,Swiss AI,Apertus,common-D,2025,7.248e+23,1862.58,21.6168,86.1638,6.71801,19.5082,0.553675,36.3156,0.429078,375.925,0.851146,0.948739,0.972464,0.99734
B:swiss-ai/Apertus-70B-2509,Apertus-70B-2509,Swiss AI,Apertus,common-D,2025,6.35399e+24,212.465,21.2808,9.98387,2.67389,4.6366,0.522769,8.17054,0.374786,46.4534,0.626013,0.784325,0.877609,0.978473
B:marin-community/marin-8b-base,marin-8b-base,Marin,Marin,singleton,2025,6.11906e+23,1581.52,21.6432,73.0723,6.26106,17.4784,0.556085,30.7473,0.433312,273.793,0.840283,0.942787,0.967477,0.996348
B:m-a-p/neo_7b,neo_7b,M-A-P,MAP-Neo,singleton,2024,2.06689e+23,567.124,21.8133,25.999,4.02544,8.77615,0.571536,11.5014,0.460456,45.4979,0.75158,0.886055,0.913054,0.978021
B:stabilityai/stablelm-3b-4e1t,stablelm-3b-4e1t,Stability AI,StableLM-3B-4E1T,singleton,2023,6.70906e+22,1430.9,21.9911,65.0672,5.95811,16.1774,0.587554,18.7467,0.488594,79.0721,0.832162,0.938185,0.946657,0.987353
