estimator,spec,param,est,se,n_obs,n_clusters,n_families,lo,hi,rho,F,ar_lo,ar_hi,ar_type,reliability,output,sample
FD across generations,,theta_N,-0.0010426734007901173,0.4860358272079019,30,10.0,,,,,,,,,,y_hellaswag,main
FD across generations,,theta_D,0.0652739929632963,0.12439913255214977,30,10.0,,,,,,,,,,y_hellaswag,main
FD across generations,,theta_C_ray,0.032115659781253095,0.27991951103787854,30,10.0,,,,,,,,,,y_hellaswag,main
"ACF-style (AR(1) omega, gens)",,theta_N,0.5602686360847284,0.8234812813607685,30,10.0,,-0.870864020725563,0.7938048591598688,1.17,,,,,,y_hellaswag,main
"ACF-style (AR(1) omega, gens)",,theta_D,0.7541779435935051,1.5546862026941883,30,10.0,,-0.36225183948010126,1.2541839053839254,1.17,,,,,,y_hellaswag,main
"ACF-style (AR(1) omega, gens)",,theta_C_ray,0.6572232898391168,0.5534385054982289,30,10.0,,-0.1945553587785622,1.0127118116726155,1.17,,,,,,y_hellaswag,main
IV: frontier FLOP/$,,theta_C,0.37449263194143967,0.09249736100276215,128,22.0,,,,,2.290369342083134,-1.0,2.5,unbounded,,y_hellaswag,main
IV: frontier FLOP/$ + developer FE,,theta_C,0.2200741099492447,0.11969341832550122,128,22.0,,,,,1.7190063663022122,-1.0,2.5,unbounded,,y_hellaswag,main
IV: frontier FLOP/$ + developer FE + trend,,theta_C,-11.497585631033871,234.4242464014861,128,22.0,,,,,0.001988101345789848,-1.0,2.5,unbounded,,y_hellaswag,main
IV: own-hardware FLOP/$,,theta_C,0.2762527030476709,0.08304721825371784,24,8.0,,,,,10.671748502942513,-0.05499999999999994,0.42500000000000004,interval,,y_hellaswag,main
IV: China x post-export-control + dev FE + year FE,,theta_C,0.9531804350173161,0.4854611257303589,128,22.0,,,,,2.3581838411856193,0.41999999999999993,2.5,unbounded,,y_hellaswag,main
"OLS, EIV-corrected (empirical)",,theta_C,0.3731613773704642,0.02312689947527925,128,,,,,,,,,,0.9948068108362841,y_hellaswag,main
"OLS, EIV-corrected (Epoch 'Confident')",,theta_C,0.39543458816875804,0.02450729503162982,128,,,,,,,,,,0.9387734175412117,y_hellaswag,main
"Family FE, EIV-corrected (empirical)",,theta_C,0.4460777680858519,0.05779560646706776,128,,,,,,,,,,0.9878836143298361,y_hellaswag,main
"Family FE, EIV-corrected (Epoch 'Confident')",,theta_C,0.5141138673855504,0.06661063358118059,128,,,,,,,,,,0.8571504208781885,y_hellaswag,main
